card_id,review_time,review_rating,review_state,review_duration
019a0000-0000-7000-8000-000000000434,1735722000000,4,0,11302
019a0000-0000-7000-8000-000000000638,1735808400000,2,0,3050
019a0000-0000-7000-8000-000000000083,1735894800000,1,0,3142
019a0000-0000-7000-8000-000000000207,1735894800000,3,0,14782
019a0000-0000-7000-8000-000000000083,1735981200000,1,3,7845
019a0000-0000-7000-8000-000000000480,1735981200000,3,0,3645
019a0000-0000-7000-8000-000000000638,1735981200000,3,2,6707
019a0000-0000-7000-8000-000000000083,1736067600000,1,3,12589
019a0000-0000-7000-8000-000000000207,1736067600000,3,2,6632
019a0000-0000-7000-8000-000000000083,1736154000000,3,3,5706
019a0000-0000-7000-8000-000000000107,1736154000000,1,0,4203
019a0000-0000-7000-8000-000000000132,1736154000000,3,0,7514
019a0000-0000-7000-8000-000000000434,1736154000000,3,2,7473
019a0000-0000-7000-8000-000000000480,1736154000000,3,2,3087
019a0000-0000-7000-8000-000000000498,1736154000000,3,0,3593
019a0000-0000-7000-8000-000000000083,1736240400000,3,2,14004
019a0000-0000-7000-8000-000000000107,1736240400000,3,3,13826
019a0000-0000-7000-8000-000000000693,1736240400000,3,0,7731
019a0000-0000-7000-8000-000000000132,1736326800000,3,2,7233
019a0000-0000-7000-8000-000000000355,1736326800000,1,0,3788
019a0000-0000-7000-8000-000000000403,1736326800000,3,0,11992
019a0000-0000-7000-8000-000000000498,1736326800000,3,2,12358
019a0000-0000-7000-8000-000000000593,1736326800000,3,0,7726
019a0000-0000-7000-8000-000000000182,1736413200000,1,0,3735
019a0000-0000-7000-8000-000000000280,1736413200000,4,0,14261
019a0000-0000-7000-8000-000000000355,1736413200000,1,3,9827
019a0000-0000-7000-8000-000000000546,1736413200000,3,0,5059
019a0000-0000-7000-8000-000000000677,1736413200000,3,0,6235
019a0000-0000-7000-8000-000000000693,1736413200000,3,2,8151
019a0000-0000-7000-8000-000000000083,1736499600000,4,2,11625
019a0000-0000-7000-8000-000000000182,1736499600000,3,3,8377
019a0000-0000-7000-8000-000000000355,1736499600000,1,3,8740
019a0000-0000-7000-8000-000000000403,1736499600000,3,2,7243
019a0000-0000-7000-8000-000000000593,1736499600000,3,2,9008
019a0000-0000-7000-8000-000000000623,1736499600000,3,0,6549
019a0000-0000-7000-8000-000000000221,1736586000000,3,0,5489
019a0000-0000-7000-8000-000000000223,1736586000000,2,0,5191
019a0000-0000-7000-8000-000000000355,1736586000000,1,3,6586
019a0000-0000-7000-8000-000000000546,1736586000000,2,2,13256
019a0000-0000-7000-8000-000000000677,1736586000000,3,2,12914
019a0000-0000-7000-8000-000000000732,1736586000000,1,0,10476
019a0000-0000-7000-8000-000000000049,1736672400000,1,0,14900
019a0000-0000-7000-8000-000000000107,1736672400000,3,2,5435
019a0000-0000-7000-8000-000000000161,1736672400000,2,0,3376
019a0000-0000-7000-8000-000000000176,1736672400000,2,0,8516
019a0000-0000-7000-8000-000000000178,1736672400000,3,0,13495
019a0000-0000-7000-8000-000000000355,1736672400000,1,3,3289
019a0000-0000-7000-8000-000000000590,1736672400000,1,0,13323
019a0000-0000-7000-8000-000000000623,1736672400000,2,2,3860
019a0000-0000-7000-8000-000000000732,1736672400000,1,3,10271
019a0000-0000-7000-8000-000000000004,1736758800000,1,0,4642
019a0000-0000-7000-8000-000000000049,1736758800000,3,3,6222
019a0000-0000-7000-8000-000000000221,1736758800000,3,2,8695
019a0000-0000-7000-8000-000000000223,1736758800000,3,2,3147
019a0000-0000-7000-8000-000000000243,1736758800000,1,0,6194
019a0000-0000-7000-8000-000000000340,1736758800000,1,0,10422
019a0000-0000-7000-8000-000000000348,1736758800000,1,0,4156
019a0000-0000-7000-8000-000000000355,1736758800000,3,3,8577
019a0000-0000-7000-8000-000000000402,1736758800000,3,0,5111
019a0000-0000-7000-8000-000000000590,1736758800000,3,3,4696
019a0000-0000-7000-8000-000000000732,1736758800000,3,3,14625
019a0000-0000-7000-8000-000000000004,1736845200000,3,3,14292
019a0000-0000-7000-8000-000000000161,1736845200000,3,2,11282
019a0000-0000-7000-8000-000000000176,1736845200000,2,2,10654
019a0000-0000-7000-8000-000000000178,1736845200000,2,2,10395
019a0000-0000-7000-8000-000000000239,1736845200000,3,0,13301
019a0000-0000-7000-8000-000000000243,1736845200000,3,3,5131
019a0000-0000-7000-8000-000000000280,1736845200000,3,2,7580
019a0000-0000-7000-8000-000000000340,1736845200000,3,3,11563
019a0000-0000-7000-8000-000000000348,1736845200000,3,3,9803
019a0000-0000-7000-8000-000000000355,1736845200000,3,2,14705
019a0000-0000-7000-8000-000000000376,1736845200000,3,0,10708
019a0000-0000-7000-8000-000000000430,1736845200000,1,0,4456
019a0000-0000-7000-8000-000000000467,1736845200000,3,0,14125
019a0000-0000-7000-8000-000000000182,1736931600000,3,2,9942
019a0000-0000-7000-8000-000000000402,1736931600000,2,2,8548
019a0000-0000-7000-8000-000000000430,1736931600000,3,3,8399
019a0000-0000-7000-8000-000000000732,1736931600000,3,2,11471
019a0000-0000-7000-8000-000000000239,1737018000000,3,2,4119
019a0000-0000-7000-8000-000000000375,1737018000000,3,0,14969
019a0000-0000-7000-8000-000000000376,1737018000000,3,2,14919
019a0000-0000-7000-8000-000000000462,1737018000000,3,0,5748
019a0000-0000-7000-8000-000000000467,1737018000000,2,2,8281
019a0000-0000-7000-8000-000000000555,1737018000000,3,0,8258
019a0000-0000-7000-8000-000000000249,1737104400000,3,0,9405
019a0000-0000-7000-8000-000000000313,1737104400000,4,0,3601
019a0000-0000-7000-8000-000000000351,1737104400000,3,0,11077
019a0000-0000-7000-8000-000000000663,1737104400000,1,0,10523
019a0000-0000-7000-8000-000000000049,1737190800000,3,2,6646
019a0000-0000-7000-8000-000000000306,1737190800000,1,0,9522
019a0000-0000-7000-8000-000000000375,1737190800000,3,2,8123
019a0000-0000-7000-8000-000000000462,1737190800000,1,2,5590
019a0000-0000-7000-8000-000000000530,1737190800000,1,0,7979
019a0000-0000-7000-8000-000000000555,1737190800000,4,2,4089
019a0000-0000-7000-8000-000000000590,1737190800000,3,2,8615
019a0000-0000-7000-8000-000000000663,1737190800000,2,3,11335
019a0000-0000-7000-8000-000000000004,1737277200000,3,2,6129
019a0000-0000-7000-8000-000000000243,1737277200000,3,2,5387
019a0000-0000-7000-8000-000000000249,1737277200000,3,2,6683
019a0000-0000-7000-8000-000000000256,1737277200000,1,0,3220
019a0000-0000-7000-8000-000000000306,1737277200000,2,3,7457
019a0000-0000-7000-8000-000000000315,1737277200000,3,0,8533
019a0000-0000-7000-8000-000000000340,1737277200000,3,2,9662
019a0000-0000-7000-8000-000000000348,1737277200000,2,2,9439
019a0000-0000-7000-8000-000000000351,1737277200000,3,2,12948
019a0000-0000-7000-8000-000000000462,1737277200000,3,3,7598
019a0000-0000-7000-8000-000000000530,1737277200000,3,3,3913
019a0000-0000-7000-8000-000000000644,1737277200000,3,0,8485
019a0000-0000-7000-8000-000000000256,1737363600000,3,3,14773
019a0000-0000-7000-8000-000000000386,1737363600000,3,0,8034
019a0000-0000-7000-8000-000000000430,1737363600000,3,2,12269
019a0000-0000-7000-8000-000000000638,1737363600000,1,2,12186
019a0000-0000-7000-8000-000000000711,1737363600000,3,0,12450
019a0000-0000-7000-8000-000000000315,1737450000000,3,2,7820
019a0000-0000-7000-8000-000000000644,1737450000000,3,2,12408
019a0000-0000-7000-8000-000000000663,1737450000000,2,2,10031
019a0000-0000-7000-8000-000000000083,1737536400000,1,2,5492
019a0000-0000-7000-8000-000000000101,1737536400000,2,0,9302
019a0000-0000-7000-8000-000000000306,1737536400000,3,2,3115
019a0000-0000-7000-8000-000000000313,1737536400000,3,2,10734
019a0000-0000-7000-8000-000000000386,1737536400000,3,2,13423
019a0000-0000-7000-8000-000000000578,1737536400000,3,0,3753
019a0000-0000-7000-8000-000000000638,1737536400000,3,3,10517
019a0000-0000-7000-8000-000000000711,1737536400000,3,2,13061
019a0000-0000-7000-8000-000000000732,1737536400000,1,2,8047
019a0000-0000-7000-8000-000000000194,1737622800000,3,0,10583
019a0000-0000-7000-8000-000000000732,1737622800000,3,3,11640
019a0000-0000-7000-8000-000000000101,1737709200000,3,2,3544
019a0000-0000-7000-8000-000000000445,1737709200000,3,0,8642
019a0000-0000-7000-8000-000000000462,1737709200000,3,2,14815
019a0000-0000-7000-8000-000000000530,1737709200000,2,2,12775
019a0000-0000-7000-8000-000000000531,1737709200000,3,0,7545
019a0000-0000-7000-8000-000000000578,1737709200000,3,2,14334
019a0000-0000-7000-8000-000000000095,1737795600000,3,0,3190
019a0000-0000-7000-8000-000000000133,1737795600000,3,0,13064
019a0000-0000-7000-8000-000000000176,1737795600000,3,2,7790
019a0000-0000-7000-8000-000000000194,1737795600000,3,2,9887
019a0000-0000-7000-8000-000000000217,1737795600000,4,0,4436
019a0000-0000-7000-8000-000000000256,1737795600000,1,2,11541
019a0000-0000-7000-8000-000000000352,1737795600000,3,0,6083
019a0000-0000-7000-8000-000000000675,1737795600000,1,0,13055
019a0000-0000-7000-8000-000000000040,1737882000000,3,0,12160
019a0000-0000-7000-8000-000000000256,1737882000000,3,3,9279
019a0000-0000-7000-8000-000000000339,1737882000000,3,0,5819
019a0000-0000-7000-8000-000000000445,1737882000000,3,2,12113
019a0000-0000-7000-8000-000000000473,1737882000000,1,0,3825
019a0000-0000-7000-8000-000000000522,1737882000000,1,0,8548
019a0000-0000-7000-8000-000000000531,1737882000000,3,2,4001
019a0000-0000-7000-8000-000000000546,1737882000000,3,2,9388
019a0000-0000-7000-8000-000000000675,1737882000000,2,3,13118
019a0000-0000-7000-8000-000000000732,1737882000000,3,2,3487
019a0000-0000-7000-8000-000000000768,1737882000000,3,0,7894
019a0000-0000-7000-8000-000000000095,1737968400000,4,2,6340
019a0000-0000-7000-8000-000000000133,1737968400000,3,2,7210
019a0000-0000-7000-8000-000000000352,1737968400000,3,2,3606
019a0000-0000-7000-8000-000000000473,1737968400000,3,3,12404
019a0000-0000-7000-8000-000000000522,1737968400000,1,3,6879
